Aprob_Semestre1;Aprob_Semestre2;Aprob_Semestre3;Total_Aprob;Genero;Edad;Provincia;Estado_civil;emplea_ingresos;niv_form_padre;niv_form_madre;ing_hogar;num_miembros_hogar;ing_eve;Tipo_vivienda;tipo_const_vivienda;Internet;cert_practicas;Cert_ingles_A2;Trabaja;Tiempo_trab;Colegio_especializacion;Nivel_Ingles;Sist_ingreso;Tipo_Colegio;Tipo_matricula;Condicion;Porc_Beca;motivo_Beca_1;motivo_Beca_2;Continua
6;6;0;12;Femenino;20;Guayas;Soltero;No aplica;Educacion Media;Educacion Media;550;8;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;No aplica;Convenio interisntitucional;0
6;6;4;16;Femenino;27;Guayas;Soltero;No aplica;Educacion Media;Secundaria;500;3;120;Propia;Villa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Avanzado;Homologacion;Particular;Ordinario;Homologado;0;No aplica;Otros;0
4;4;0;8;Masculino;37;Guayas;Casado;Financiar sus estudios;Educacion Media;Secundaria;500;6;300;Propia;Casa;Si;No;No;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Particular;Ordinario;Caso Especial;25;Otra;Ex cadete Anai;0
6;6;6;18;Masculino;28;Guayas;Soltero;Financiar sus estudios;Educacion Media;Secundaria;800;6;0;Propia;Casa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;5;17;Masculino;22;Guayas;Soltero;No aplica;Secundaria;Educacion Basica;500;5;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;0
6;5;6;17;Masculino;26;Guayas;Soltero;Financiar sus estudios;Primaria;Primaria;1300;5;0;Propia;Casa;Si;No aplica;No aplica;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Homologado;0;No aplica;Otros;0
6;6;6;18;Femenino;22;Guayas;Soltero;No aplica;Educacion Media;Educacion Basica;500;3;0;Propia;Casa;Si;No;Si;No;0;BACHILLER TECNICO;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
6;6;6;18;Femenino;34;Los Rios;Casado;Financiar sus estudios;Educacion Media;Secundaria;971;5;0;Propia;Casa;Si;No;No;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Cantones aledanos;1
6;6;0;12;Femenino;21;Guayas;Soltero;No aplica;Educacion Media;Educacion Basica;1880;5;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;0
6;6;4;16;Femenino;41;Santa Elena;Divorciado;Financiar sus estudios;Superior Universitaria;Educacion Basica;650;3;0;Arrendada;Casa;Si;No;No;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Extraordinario;Caso Especial;0;No aplica;Otros;0
6;6;6;18;Femenino;36;Guayas;Casado;Para mantener a su hogar;Secundaria;Secundaria;1350;3;0;Propia;Villa;Si;Si;Si;No;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;75;Otra;Otros;1
6;6;4;16;Masculino;22;Guayas;Soltero;Financiar sus estudios;Primaria;Primaria;494;5;20;Otra;Otra;No;No aplica;No aplica;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Fiscal;Ordinario;Caso Especial;0;No aplica;Otros;0
6;6;0;12;Masculino;20;Guayas;Soltero;No aplica;Educacion Basica;Educacion Basica;100;1;0;Propia;Villa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Convenio interisntitucional;0
6;6;6;18;Femenino;23;Guayas;Soltero;Financiar sus estudios;Educacion Basica;Educacion Basica;800;4;0;Propia;Villa;Si;No;Si;Si;0;BACHILLER EN INFORMATICA;Basico;Curso de Nivelacion;Particular;Extraordinario;Caso Especial;0;No aplica;Otros;1
6;6;5;17;Femenino;39;Guayas;Soltero;No aplica;Primaria;Primaria;400;4;0;Arrendada;Casa;No;Si;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Otros;Particular;Ordinario;Regular;0;No aplica;Otros;0
